"kvzId","externalOrderNo"
"30941R93",1742
3339717021,1742
"9214R530",1740
"87711A1",1741
"ohne",1741
"87711A4",1741
"33035R162",1769
"332054A73",1754
"34473A614",1550
"ohne",1750
"83822A53",1442
"34121A25",19341
"34121R162",19341
"34152A59",19341
"34121D131",19341
"ohne",19341
"34186A102",19341
"34168A64",19341
"34121R134",19341
"34121R111",19341
"34121V5",19341
"34121A173",19341
"34123R126",19341
"34121A18",19341
341465992,19341
"34147A558",19341
"34191A23",19341
"34125A82",19341
"34147A158",19341
"34121A216",19341
"34121V17",19341
"34146A4",19341
"34121R133",19341
"34121D135",19341
"34121R72",19341
"34121A161",19341
"34123R96",19341
"22322A3",1709
"22324A39",1709
"21737A80",1778
"21737A41",1778
"61425R63",1611
"33284A72",1772
"9219R8",1797
"9211R6",1797
"9216A30",1798
"76672A22",1800
"91261A511",1779
"91261R1",1779
"76141V1017",1787
"26021A60",1788
"ohne",1788
"99511A1",1790
"39173A702",1773
"ohne",1788
"26021R25",1788
"374212R522",1808
"33013A43",1776
"99531R17",1790
"37413A13",1780
"ohne",1574
"99541A3",1790
"37415A41",1807
"9216A200",1797
"9219A22",1797
"23145A80",1612
"23145A580",1612
"33272R71",1802
"33272R70",1802
"92311A25",1805
"91315A7",1801
"33272R63",1802
"33272A591",1803
"33272R41",1803
"33272R52",1803
"33272A530",1804
"33073A503",1775
"33073A4",1775
"33073A24",1775
"33035R155",1776
"33043V3069",1776
"37415A23",1807
"23518A4",1837
"72421R28",1768
"82131A189",1526
"82131R108",1526
"72188R25",1728
"33272R23",1817
"92318A9",1826
"37412A24",1836
"92381A5",1825
"33272A23",1817
"21732A62",1858
"76431R20",1838
"22061A78",1839
"344432A10",1818
"73051A110",1841
"2617A541",1835
"2611R3",1835
"73921A3",1842
"62181A42",1835
"21735A12",1849
"21735A11",1849
"76311R527",1774
"92317R8",1440
"22061A24",1839
"22061A40",1870
"6212A555",1747
"26312R34",1863
"22061R1",1870
"22322A4",1098
"22322A48",1098
"22322A55",1098
"keine ID in Liste",1850
"34121A111",1476
"34121R110",1476
"34186A123",1476
"94021A3",1850
"94071A26",1850
"94711A35",1850
"94711A635",1850
"92811A24",1873
"33915A39",1862
"6212R520",1857
"26031A47",1864
"62246A516",1883
"62242A27",1883
"6212R619",1834
"62241A28",1883
"366032R39",1298
"366032A10",1298
"366032R17",1298
"56151A11",1766
"56151R538",1766
"34147R57",1794
"34147A58",1794
"34147A56",1794
"26232A52",1880
36583044,1892
"3654R50",1877
36583324,1892
"33035R106",1881
"33035R156",1881
"33035R103",1881
"22061R33",1871
"8416A61",1423
"21321A504",1876
"22061R78",1876
"ohne",1769
"72166A601",1843
"33788A39",1720
"366032A22",1298
"73921A49",1878
"334381A4",1901
"33222A115",1885
"33422A47",1901
"33422V1003",1901
"334391A35",1901
"334381A16",1901
"338442A9",1875
"338442R4",1875
"2618V8011",1900
26177042,1899
"23518A2",1837
"26201R2",1902
"ohne",1752
"26201R9",1902
"26201R14",1902
"ohne",1886
"ohne",1886
"33811A87","1891.1"
"33811R554","1891.2"
"8990A110",1311
"33822A2",1894
"83822A44",1904
"22047A305",1905
"22061A77",1905
"22061A63",1905
"22047A2",1905
"22061A2",1905
"21732A512",1907
"201732R579",1907
"21735A38",1907
"33028RV8035",1906
"33028V9009",1906
"33028V9007",1906
"62321A654",1908
"345613A10",1494
"345613R7",1494
"345613R6",1494
"345613R13",1494
"345613A16",1494
"22061A27",1871
"62141A9",1886
"62144R653",1882
"33222A103",1919
"33028A37",1919
"33422R25",1911
"33422A24",1911
"33422A57",1911
"33422A22",1911
"86571A6",1913
"33222A701",1918
"33043A53",1919
"366032R501",1897
"92541A15",1397
"33721A527",1926
"21737A80",1927
"96281R509",1915
"96281A19",1915
"62414A113",1563
"62414A25",1935
"344442R126",1949
"344413R10",1950
"26031A545",1937
"26635R41",1788
"62414A70",1935
"72471V1012",1946
"8218A564",1942
"82722R20",1954
"82722A17",1954
"82722A26",1954
"344412R612",1956
"26211A22",1958
"33711A557",1944
"34458V6000",1939
"95712R13",1952
"34482R47",1694
"36432A88",1962
"6514A3",1970
"39312R149",1960
"73041R5",1966
"37412A93",1973
"6212A52",1834
"39312A163",1959
"39314A1",1961
"33711A147",1971
"344330A2",1928
"82822A67",1966
"82822A40",1966
"9614A58",1976
"33381A2",1979
"33028A55",1979
"73451A10",1981
"73073R27",1980
"9614A503",1975
"9614A7",1975
"344330A24",1928
"344330A56",1928
"76121A94",1989
"70831A12",1957
"92814A568",1984
"26211A20",1983
"35462A48",1986
"35462R8",1986
"35462V1400",1986
"337311A11",1988
"3373119823A",1987
"36472A2",1951
"62414A9",1963
"62415A31",1963
"ohne",1991
"83412A13",1993
"83412R30",1993
"83312V2052",1994
"83312R14",1994
"83312R26",1994
"92611A17",1887
"95712V2016",1995
"70831A48",1957
"92921A522",1991
"92611A37",1953
"92841A2",1991
"6412R5",1997
"64417R552",1997
"3658A341",1982
"366282R18",2003
"91332R32",1801
"334341R506",2001
"3363381R4",2001
"336381A36",2001
"366282A562",2002
"36414A167",1400
364143056,1400
"6212A96",1854
"91919R24",1999
"21732A60",2006
"9211A510",2014
"91941A5",2010
"74411R64",2008
"334321A13",2007
"334321A517",2007
"334321R516",2015
"334321R15",2015
"334321A42",2015
"334321A17",2015
"33412A140",2016
"33412A135",2016
"366282A22",2013
"21737A59",1998
"36432A166",2019
"36432A81",2018
"36432A161",2018
"ohne",2004
"ohne",2004
"73921A46",1996
"334321A38",2007
"22061A34",1839
"6716A32",2009
"92081R5",2017
"84411A407",2036
"33691R10",2033
"96211A77",2037
"94051A11",2028
"73451A70",2038
3336516012,2033
"21171R539",2049
"33222A603",2039
"33222V9013",2039
"33222A101",2039
"21035A1",2044
"21034A27",2044
"33013A55",2040
"633141A82",2048
"33412A141",2041
"21034A28",2050
"62066A10",2034
"3654A112",2043
"3653A148",2043
"9613A76",2042
"36432A106",2051
"63324A2",2047
63324307,2047
"63322A6",2047
"68422A470",2056
"68422A32",2056
"21291A51",2044
"73731A31",2029
"7316A29",2029
"63322A9",2045
"39219A25",2058
"3658A11",2043
"21737R82",2046
"33013A63",2055
"33013A90",2055
"63322A547",2047
"63322R45",2047
"96211A15",2065
"36442R542",2062
"73515A53",2061
63151501,2066
"6315503A",2066
"72311A143",1955
"62011A5",2060
"34482A999",1550
"62011A135",2068
"21962A89",2074
"94412R12",2071
"62011A503",2068
"33013A39",2070
"94021A15",2073
"94021A507",2073
"73941A501",2063
"2611A14",2086
"94451A23",2079
"94451A3",2079
"ohne",2056
"63322A84",2056
"330563R12",2078
"33423R62",2082
334232103,2082
"33423R80",2082
"30991A131",2082
"ohne",1837
"330561A43",2078
"7318A8",2075
"73172A29",2075
"73172A46",2075
"330561A44",2078
"2614A33",2087
"2614A31",2087
"33043A510",2077
"62414A138",1257
"62414A27",1257
"63324A28",2056
"61446A519",2105
"73451A100",2076
"73451A19",2104
"33043A529",2077
"73451A17",2076
"22862R20",2088
"62011A9",2080
"62415A76",2102
"26031A11",2116
"33035A116",2110
"33035A608",2110
"33035A109",2110
"68422A50",2069
"62331A65",2100
"21814R49",2118
"94412A151",2099
"94412A2",2099
"70721A566",2111
"25631A69",2115
"62041V1",2081
"21814A20",2119
"21814A36",2119
"25651A38",2121
"33351A14",2107
"334561A23",2107
"33073A527",2107
36583069,2120
"84311A1",2091
"37412A36",2114
745713299,2083
"74571R907",2083
"74721A41",2083
"73482A514",2127
"61722V9017",2133
"37452A84",2128
"72188A33",2410
"33461A25",2124
"33412A66",2125
"6514A3",2106
"6514A49",1974
"6511A54",1974
"62041A614",2129
